2005.12.02,00:00,1.17350,1.17480,1.16590,1.17160,6130
2005.12.05,00:00,1.16960,1.18170,1.16880,1.17910,5563
2005.12.06,00:00,1.17900,1.18060,1.17540,1.17780,5610
2005.12.07,00:00,1.17790,1.18010,1.17030,1.17120,5568
2005.12.08,00:00,1.17130,1.18470,1.17030,1.18160,6312
2005.12.09,00:00,1.18170,1.18360,1.17640,1.18100,5728
2005.12.12,00:00,1.17870,1.19790,1.17840,1.19510,6597
2005.12.13,00:00,1.19520,1.19860,1.19040,1.19330,6694
2005.12.14,00:00,1.19340,1.20590,1.19330,1.19890,7451
2005.12.15,00:00,1.19900,1.20370,1.19360,1.19690,14032
2005.12.16,00:00,1.19680,1.20260,1.19360,1.20110,9637
2005.12.19,00:00,1.20290,1.20370,1.19730,1.19990,5178
2005.12.20,00:00,1.20020,1.20110,1.18390,1.18610,6679
2005.12.21,00:00,1.18590,1.19100,1.18000,1.18300,6804
2005.12.22,00:00,1.18310,1.18950,1.18080,1.18710,5306
2005.12.23,00:00,1.18700,1.18830,1.18270,1.18620,4625
2005.12.26,00:00,1.18560,1.18940,1.18290,1.18450,4621
2005.12.27,00:00,1.18460,1.18740,1.18240,1.18270,2734
2005.12.28,00:00,1.18280,1.19290,1.18110,1.18340,4621
2005.12.29,00:00,1.18320,1.18780,1.18150,1.18380,4294
2005.12.30,00:00,1.18400,1.18850,1.17750,1.18460,5072
2006.01.02,00:00,1.18400,1.18640,1.17990,1.18160,3122
2006.01.03,00:00,1.18180,1.20290,1.18080,1.20130,6844
2006.01.04,00:00,1.20110,1.21430,1.20110,1.21060,9540
2006.01.05,00:00,1.21050,1.21190,1.20650,1.20980,7238
2006.01.06,00:00,1.20990,1.21790,1.20780,1.21500,6104
2006.01.09,00:00,1.21440,1.21530,1.20510,1.20790,6742
2006.01.10,00:00,1.20780,1.21080,1.20340,1.20560,6156
2006.01.11,00:00,1.20580,1.21410,1.20440,1.21380,6652
2006.01.12,00:00,1.21360,1.21620,1.20050,1.20290,5719
2006.01.13,00:00,1.20310,1.21430,1.20280,1.21400,9542
2006.01.16,00:00,1.21500,1.21730,1.21060,1.21130,3515
2006.01.17,00:00,1.21140,1.21390,1.20500,1.21140,6014
2006.01.18,00:00,1.21120,1.21580,1.20690,1.21160,7359
2006.01.19,00:00,1.21170,1.21240,1.20520,1.20890,6862
2006.01.20,00:00,1.20900,1.21440,1.20390,1.21350,6199
2006.01.23,00:00,1.21410,1.23100,1.21410,1.22940,7281
2006.01.24,00:00,1.22950,1.23210,1.22540,1.22670,6172
2006.01.25,00:00,1.22680,1.23210,1.22340,1.22400,6725
2006.01.26,00:00,1.22420,1.22680,1.21960,1.22040,5951
2006.01.27,00:00,1.22060,1.22340,1.20840,1.20920,7577
2006.01.30,00:00,1.21030,1.21130,1.20620,1.20900,5952
2006.01.31,00:00,1.20910,1.21880,1.20770,1.21460,6158
2006.02.01,00:00,1.21430,1.21620,1.20460,1.20560,6276
2006.02.02,00:00,1.20550,1.21060,1.20310,1.20850,5883
2006.02.03,00:00,1.20860,1.21110,1.19670,1.20230,6072
2006.02.06,00:00,1.20310,1.20450,1.19450,1.19710,5260
2006.02.07,00:00,1.19700,1.20140,1.19400,1.19840,6231
2006.02.08,00:00,1.19830,1.19920,1.19220,1.19560,6021
2006.02.09,00:00,1.19580,1.19940,1.19450,1.19840,5352
2006.02.10,00:00,1.19850,1.20240,1.18910,1.19040,7344
2006.02.13,00:00,1.18960,1.19180,1.18750,1.19000,5086
2006.02.14,00:00,1.18990,1.19220,1.18580,1.19110,5523
2006.02.15,00:00,1.19120,1.19530,1.18690,1.18910,6142
2006.02.16,00:00,1.18920,1.19070,1.18470,1.19020,5428
2006.02.17,00:00,1.19010,1.19420,1.18570,1.19390,9387
2006.02.20,00:00,1.19240,1.19730,1.19220,1.19350,3729
2006.02.21,00:00,1.19340,1.19360,1.18900,1.19060,4538
2006.02.22,00:00,1.19070,1.19280,1.18610,1.19090,5502
2006.02.23,00:00,1.19100,1.19670,1.18900,1.19170,6796
2006.02.24,00:00,1.19180,1.19320,1.18620,1.18750,6299
2006.02.27,00:00,1.18620,1.18770,1.18250,1.18450,5577
2006.02.28,00:00,1.18440,1.19390,1.18330,1.19270,5683
2006.03.01,00:00,1.19260,1.19720,1.18890,1.19200,6523
2006.03.02,00:00,1.19210,1.20440,1.19120,1.20320,6105
2006.03.03,00:00,1.20310,1.20510,1.19940,1.20440,6153
2006.03.06,00:00,1.20500,1.20920,1.19880,1.20060,6225
2006.03.07,00:00,1.20050,1.20200,1.18670,1.18850,7774
2006.03.08,00:00,1.18860,1.19390,1.18720,1.19260,5939
2006.03.09,00:00,1.19270,1.19510,1.18980,1.19050,6320
2006.03.10,00:00,1.19040,1.19260,1.18590,1.19070,5774
2006.03.13,00:00,1.19140,1.19670,1.19120,1.19590,4975
2006.03.14,00:00,1.19580,1.20300,1.19390,1.20130,6338
2006.03.15,00:00,1.20140,1.20720,1.20050,1.20660,5915
2006.03.16,00:00,1.20650,1.21880,1.20350,1.21690,7239
2006.03.17,00:00,1.21700,1.22060,1.21390,1.21890,6814
2006.03.20,00:00,1.21760,1.21950,1.21450,1.21590,5666
2006.03.21,00:00,1.21600,1.21650,1.20750,1.21110,7147
2006.03.22,00:00,1.21100,1.21130,1.20640,1.20760,5661
2006.03.23,00:00,1.20770,1.20790,1.19530,1.19670,6218
2006.03.24,00:00,1.19660,1.20440,1.19500,1.20350,5641
2006.03.27,00:00,1.20380,1.20570,1.20040,1.20140,4310
2006.03.28,00:00,1.20130,1.21050,1.19910,1.19980,6478
2006.03.29,00:00,1.19990,1.20470,1.19790,1.20220,5932
2006.03.30,00:00,1.20210,1.21710,1.20200,1.21650,7373
2006.03.31,00:00,1.21640,1.21740,1.20820,1.21180,7167
